cycle_days,rebalance_date,ticker,weight
7,2025-03-01,XRP,4.625929269271223e-18
7,2025-03-01,BTC,0.25
7,2025-03-01,ETH,0.20699180553159044
7,2025-03-01,SOL,4.625929269271223e-18
7,2025-03-01,DOGE,4.625929269271223e-18
7,2025-03-01,AERGO,4.625929269271223e-18
7,2025-03-01,ADA,4.625929269271223e-18
7,2025-03-01,AUCTION,4.625929269271223e-18
7,2025-03-01,ONDO,4.625929269271223e-18
7,2025-03-01,SUI,4.625929269271223e-18
7,2025-03-01,VIRTUAL,4.625929269271223e-18
7,2025-03-01,ARDR,4.625929269271223e-18
7,2025-03-01,MOVE,4.625929269271223e-18
7,2025-03-01,AWE,0.047365977792575724
7,2025-03-01,XLM,4.625929269271223e-18
7,2025-03-01,AXS,4.625929269271223e-18
7,2025-03-01,SNT,4.625929269271223e-18
7,2025-03-01,QTUM,4.625929269271223e-18
7,2025-03-01,ANIME,4.625929269271223e-18
7,2025-03-01,PUNDIX,0.12566932553126617
7,2025-03-01,ARK,4.625929269271223e-18
7,2025-03-01,ENS,4.625929269271223e-18
7,2025-03-01,LINK,4.625929269271223e-18
7,2025-03-01,CRO,4.625929269271223e-18
7,2025-03-01,HBAR,4.625929269271223e-18
7,2025-03-01,VANA,4.625929269271223e-18
7,2025-03-01,SEI,4.625929269271223e-18
7,2025-03-01,STRAX,4.625929269271223e-18
7,2025-03-01,KNC,4.625929269271223e-18
7,2025-03-01,ME,4.625929269271223e-18
7,2025-03-01,SHIB,4.625929269271223e-18
7,2025-03-01,CBK,4.625929269271223e-18
7,2025-03-01,AQT,4.625929269271223e-18
7,2025-03-01,SAFE,4.625929269271223e-18
7,2025-03-01,GLM,4.625929269271223e-18
7,2025-03-01,PEPE,4.625929269271223e-18
7,2025-03-01,BONK,4.625929269271223e-18
7,2025-03-01,WAVES,4.625929269271223e-18
7,2025-03-01,MASK,0.25
7,2025-03-01,ATH,4.625929269271223e-18
7,2025-03-01,TOKAMAK,0.08751893934456005
7,2025-03-01,CARV,0.02780428609801077
7,2025-03-01,MEW,4.625929269271223e-18
7,2025-03-01,MNT,4.625929269271223e-18
7,2025-03-01,PYTH,4.625929269271223e-18
7,2025-03-01,SONIC,4.625929269271223e-18
7,2025-03-01,GAS,0.004649665701996893
7,2025-03-01,AKT,4.625929269271223e-18
7,2025-03-01,BIGTIME,4.625929269271223e-18
7,2025-03-01,DRIFT,4.625929269271223e-18
7,2025-03-08,XRP,3.614007241618217e-18
7,2025-03-08,BTC,0.25
7,2025-03-08,ETH,3.614007241618217e-18
7,2025-03-08,SOL,3.614007241618217e-18
7,2025-03-08,DOGE,3.614007241618217e-18
7,2025-03-08,AERGO,3.614007241618217e-18
7,2025-03-08,ADA,3.614007241618217e-18
7,2025-03-08,AUCTION,0.012429782247794001
7,2025-03-08,ONDO,3.614007241618217e-18
7,2025-03-08,SUI,3.614007241618217e-18
7,2025-03-08,VIRTUAL,3.614007241618217e-18
7,2025-03-08,ARDR,0.164955957294325
7,2025-03-08,MOVE,3.614007241618217e-18
7,2025-03-08,AWE,0.012207975453603793
7,2025-03-08,XLM,3.614007241618217e-18
7,2025-03-08,AXS,3.614007241618217e-18
7,2025-03-08,SNT,3.614007241618217e-18
7,2025-03-08,QTUM,3.614007241618217e-18
7,2025-03-08,ANIME,3.614007241618217e-18
7,2025-03-08,PUNDIX,0.010905264276868571
7,2025-03-08,ARK,3.614007241618217e-18
7,2025-03-08,ENS,3.614007241618217e-18
7,2025-03-08,LINK,3.614007241618217e-18
7,2025-03-08,CRO,0.04469755427386724
7,2025-03-08,HBAR,3.614007241618217e-18
7,2025-03-08,VANA,3.614007241618217e-18
7,2025-03-08,SEI,3.614007241618217e-18
7,2025-03-08,STRAX,3.614007241618217e-18
7,2025-03-08,KNC,3.614007241618217e-18
7,2025-03-08,ME,3.614007241618217e-18
7,2025-03-08,SHIB,3.614007241618217e-18
7,2025-03-08,CBK,0.03452106111826621
7,2025-03-08,AQT,3.614007241618217e-18
7,2025-03-08,SAFE,3.614007241618217e-18
7,2025-03-08,GLM,3.614007241618217e-18
7,2025-03-08,PEPE,3.614007241618217e-18
7,2025-03-08,BONK,3.614007241618217e-18
7,2025-03-08,WAVES,3.614007241618217e-18
7,2025-03-08,MASK,0.25
7,2025-03-08,ATH,3.614007241618217e-18
7,2025-03-08,TOKAMAK,0.12935600004483938
7,2025-03-08,CARV,3.614007241618217e-18
7,2025-03-08,MEW,3.614007241618217e-18
7,2025-03-08,MNT,0.0909264052904359
7,2025-03-08,PYTH,3.614007241618217e-18
7,2025-03-08,SONIC,3.614007241618217e-18
7,2025-03-08,GAS,3.614007241618217e-18
7,2025-03-08,AKT,3.614007241618217e-18
7,2025-03-08,BIGTIME,3.614007241618217e-18
7,2025-03-08,DRIFT,3.614007241618217e-18
7,2025-03-15,XRP,2.7755575615627336e-18
7,2025-03-15,BTC,0.25
7,2025-03-15,ETH,2.7755575615627336e-18
7,2025-03-15,SOL,2.7755575615627336e-18
7,2025-03-15,DOGE,2.7755575615627336e-18
7,2025-03-15,AERGO,2.7755575615627336e-18
7,2025-03-15,ADA,2.7755575615627336e-18
7,2025-03-15,AUCTION,0.01720749733918989
7,2025-03-15,ONDO,2.7755575615627336e-18
7,2025-03-15,SUI,2.7755575615627336e-18
7,2025-03-15,VIRTUAL,2.7755575615627336e-18
7,2025-03-15,ARDR,0.1061909647430071
7,2025-03-15,MOVE,2.7755575615627336e-18
7,2025-03-15,AWE,0.029736007307683596
7,2025-03-15,XLM,2.7755575615627336e-18
7,2025-03-15,AXS,2.7755575615627336e-18
7,2025-03-15,SNT,2.7755575615627336e-18
7,2025-03-15,QTUM,2.7755575615627336e-18
7,2025-03-15,ANIME,2.7755575615627336e-18
7,2025-03-15,PUNDIX,0.07223584640917466
7,2025-03-15,ARK,2.7755575615627336e-18
7,2025-03-15,ENS,2.7755575615627336e-18
7,2025-03-15,LINK,2.7755575615627336e-18
7,2025-03-15,CRO,2.7755575615627336e-18
7,2025-03-15,HBAR,2.7755575615627336e-18
7,2025-03-15,VANA,2.7755575615627336e-18
7,2025-03-15,SEI,2.7755575615627336e-18
7,2025-03-15,STRAX,2.7755575615627336e-18
7,2025-03-15,KNC,2.7755575615627336e-18
7,2025-03-15,ME,2.7755575615627336e-18
7,2025-03-15,SHIB,2.7755575615627336e-18
7,2025-03-15,CBK,0.045527685431455536
7,2025-03-15,AQT,2.7755575615627336e-18
7,2025-03-15,SAFE,2.7755575615627336e-18
7,2025-03-15,GLM,2.7755575615627336e-18
7,2025-03-15,PEPE,2.7755575615627336e-18
